Municipality,Year,Indicator 1,Indicator 2,Indicator 3,Indicator 4,Indicator 5,Indicator 6,Indicator 7,Indicator 8,Indicator 9,Indicator 10
Borjomi,2016,33.87948476,2.047132576,38.61619103,85.07231056,55.45221521,1.266942056,71.37500226,79.59342456,71.47117393,31.56182019
Ninotsminda,2016,32.36068273,46.41538096,92.16810262,42.83586454,68.45538893,67.18445245,47.61016568,56.64602749,42.7450429,12.50133931
Gori,2016,68.82940912,84.40610323,69.14341302,49.38371477,53.34501429,39.56173843,70.21091714,12.58598059,93.29327665,51.74894353
Java,2016,77.43326297,13.45607354,35.65155138,97.16592153,21.84441963,54.59395128,99.05255371,83.28247568,13.2809781,38.22572344
Kareli,2016,18.53501702,69.09759094,98.89449234,73.40070633,95.99420739,39.81071691,27.0378911,75.50935812,33.34779561,71.67377652
Kaspi,2016,82.40981671,64.57594986,98.62813196,15.92382643,58.86751904,11.20734248,64.38765254,14.75799695,58.26812399,63.16199809
Khashuri,2016,81.64570262,35.60029431,43.5579829,78.26045295,49.06581808,81.43021042,76.37197936,54.86839981,63.47827005,15.92857524
Tbilisi,2016,78.13320556,55.05738255,31.45499527,66.87687415,71.01634714,37.33843516,50.15610994,20.76899042,96.83639354,25.95424311
Gagra,2015,46.91233165,41.79551868,8.598803442,58.02224046,36.50002929,83.44083803,8.872932474,84.86761881,47.31465621,95.51733655
Gali,2015,11.98032322,31.96010367,7.374284775,52.44081325,85.95155337,7.315503689,20.69238249,38.56090985,77.90333061,12.94984925
Gudauta,2015,49.17095338,90.46673611,47.3590578,36.0926364,94.77865771,7.724461198,68.91758458,65.84735648,43.75606778,21.53713218
Gulripshi,2015,62.23863634,42.08356963,31.04811775,64.57462711,71.38991367,6.144268901,39.52786925,36.71831665,4.198433625,78.261693
Ochamchire,2015,78.80372123,5.795894612,67.43156559,84.58435151,70.41672857,1.601476297,21.91419409,21.09356694,18.1392623,77.75489058
Sokhumi,2015,9.454251308,50.54427736,47.21784718,80.14414249,83.04456763,22.45090194,40.08867604,74.48684255,8.580249332,48.38244125
Batumi,2015,40.98299205,95.88281586,40.76525082,23.13078198,98.1972305,42.09879233,12.34690637,72.07943614,29.25670731,5.354994413
Keda,2015,65.01350676,59.10892129,47.54351995,69.08732714,29.13602536,92.04362328,16.36460967,68.80123313,49.57039438,30.16601255
Khulo,2015,48.3498757,19.65164622,30.368878,61.83362058,24.49569301,4.950797,57.26977366,65.31982204,75.46204221,14.48090336
Kobuleti,2015,47.53096552,46.58336775,88.99131842,9.088483666,74.25674168,45.78202105,65.18343876,41.50317935,45.81966238,18.02599865
Shuakhevi,2015,15.31149455,25.65784542,24.02995014,56.25058966,59.85931639,59.41022434,28.67739052,76.35321729,52.00002402,1.760768637
Chokhatauri,2015,75.23304033,68.69605505,62.05646405,79.30105267,28.194223,63.57216563,46.92947236,55.53877014,35.74602675,2.947639831
Lanchkhuti,2015,8.858505892,66.95783275,21.08064506,83.84631733,79.97771582,20.60836047,19.82118308,62.00735267,14.64450928,91.5997924
Ozurgeti,2015,37.97097685,86.46585332,47.61520664,9.408623067,74.32910176,32.79548091,13.07128676,29.66433676,55.23425846,52.53954061
Bagdati,2015,29.89446085,49.16481279,9.271808999,47.26775254,24.30099543,64.45707332,20.83192978,12.15011941,86.04465575,33.18176755
Chiatura,2015,39.37161663,38.98867178,69.601622,9.212323646,2.316805933,33.35160344,52.75774097,34.45339781,2.400652581,61.03588127
Kharagauli,2015,50.18751013,44.59186289,69.86536191,30.9371221,17.22771229,4.327671096,91.78566024,5.97719081,37.18532178,9.48373792
Khoni,2015,21.34834894,91.24451765,97.00853084,21.20922107,24.58358134,69.63779154,32.49364679,27.22247433,20.78310974,16.03573678
Kutaisi,2015,13.39628231,29.84784122,37.63351259,7.6471943,73.72479185,41.25854799,15.46422383,31.77782389,6.972208679,93.03326481
Sachkhere,2015,77.55445432,84.53708406,3.43331946,77.2265886,93.85799406,34.84308117,10.41054864,15.47179849,73.70131286,18.89434321
Samtredia,2015,30.48228307,31.3244545,91.92159141,18.82569155,93.20907976,81.64098189,81.86861404,27.74707128,31.45011518,90.72332712
Terjola,2015,44.04465627,21.00492266,77.60596099,12.03834102,0.136811219,10.77285889,50.28704913,13.43185922,27.09274114,84.30517392
Tkibuli,2015,54.66146583,72.43219984,38.27126849,79.80478459,30.6546741,33.5118389,61.52241621,72.29889662,70.73953752,29.50739299
Tskaltubo,2015,52.09076548,71.99067848,96.47134746,95.13518765,21.57090094,86.11973784,57.10387164,80.78766329,68.92607301,8.594958335
Vani,2015,6.173532955,17.02909885,43.490358,23.70764951,75.58644427,5.667971227,32.85011652,80.06599647,87.1083824,8.809132924
Zestaponi,2015,80.40396152,20.3007717,45.7266557,0.925762625,19.69107385,8.378316868,8.81114355,63.58422338,71.74244622,50.37329653
Akhmeta,2015,20.48007693,83.34372247,85.27939157,12.29351067,61.18683135,69.13086111,19.17987515,91.55305212,35.47503564,4.479376275
Dedoplis Tskaro,2015,97.66149922,81.88868484,7.211758566,35.99016852,93.85539145,77.58727779,15.79796861,12.7456537,29.06759475,80.77051562
Gurjaani,2015,8.883488989,1.758297229,38.92964705,48.28956209,4.947621651,71.50327259,68.50385195,28.22638146,1.646881116,63.05148906
Kvareli,2015,12.06220024,2.231158488,53.0728104,67.16896144,10.45115424,83.41068131,56.62171898,26.79087232,57.07070327,93.99937039
Lagodekhi,2015,51.61425542,33.13847402,92.0684812,71.75870602,32.84727323,89.78394401,72.33679637,78.62197884,83.69923148,2.518820868
Sagarejo,2015,31.02626003,16.320726,0.221346124,26.77310627,81.00318112,83.84100549,28.83753694,75.00876084,96.10287121,37.23199011
Signagi,2015,80.37658831,64.83799401,69.58049056,71.37009702,67.58372618,15.20997116,87.94783188,19.3912267,47.78507082,58.59227354
Telavi,2015,83.88113472,19.77650747,24.52173557,22.80942513,58.70455554,27.2142492,13.7449289,39.58647943,94.51196658,45.34094599
Bolnisi,2015,43.31320637,58.6627256,31.41765355,99.53551252,9.833041526,25.07642139,78.86735375,92.30710901,96.83593624,84.46595799
Dmanisi,2015,56.88216572,66.65060498,56.72440595,80.10072344,59.41748362,66.2727465,68.60555135,89.45276881,77.65855534,28.88897424
Gardabani,2015,21.30085149,51.97058746,0.348038049,81.01032271,80.78957707,79.64139529,65.53640627,12.16815181,9.153288567,14.53536834
Marneuli,2015,7.995356991,17.08918631,29.47847244,98.92135194,60.7270497,22.67980764,89.65529611,18.63436194,86.93862458,72.44955364
Tetri Tskaro,2015,40.9368371,28.17339691,50.73908259,6.395191189,82.92826232,59.55750474,15.93945298,68.97980325,25.622498,36.8991799
Tsalka,2015,51.55147663,49.07356087,24.28112264,11.87250388,95.51845515,77.79471102,8.220417536,45.96853663,77.01334409,12.28989568
Akhalgori,2015,91.41458193,24.20730163,62.15062207,87.45540687,98.4187682,51.29189229,74.35654981,2.825086807,20.54615346,81.26710333
Dusheti,2015,12.54738649,23.70468685,27.64974413,19.30543926,44.13010954,26.1515911,30.61568278,26.44842534,45.71701502,58.26675592
Kazbegi,2015,88.99070857,2.679045604,43.71511074,68.39978501,94.06980725,30.25800138,62.34460536,51.78527443,26.57834181,94.00199546
Mtskheta,2015,16.75641174,4.062781337,26.00068553,9.514083139,84.88380235,50.02725668,4.535925748,98.2783347,6.655410802,43.9826557
Tianeti,2015,22.45073767,86.36033906,58.5658238,57.98111267,10.9736377,62.63308507,30.58254766,20.39419633,52.44463716,92.60875313
Ambrolauri,2015,81.0308953,76.55739005,42.56745398,28.43556532,23.65028065,20.48722572,10.97572291,33.32176708,52.03185585,96.04665932
Lentekhi,2015,8.02372797,12.4765767,59.58364969,52.66810265,68.8700833,27.01093675,23.15640077,20.0011052,20.13462623,16.94139477
Oni,2015,50.42477146,48.52729063,85.68800304,14.31110334,77.66623896,64.56254486,81.60104308,95.13677095,78.99428243,23.49516271
Tsageri,2015,24.11452523,81.34376428,19.11337302,95.91131667,1.362932432,26.55665797,17.8435944,61.03904122,70.20670254,83.04213535
Abasha,2015,76.51235055,73.06849592,10.6305059,84.27510961,74.08672537,51.27170275,23.639519,79.08731295,47.1990518,75.17413855
Chkhorotsku,2015,97.65394081,45.53567441,21.57085754,26.17475743,50.39428014,69.88536218,96.46379429,5.125450838,71.55120379,50.77724797
Khobi,2015,32.78866428,56.49925623,99.28065341,42.42262326,51.89983804,14.74828286,25.00958243,74.08748882,57.04305609,4.41753328
Martvili,2015,40.12901741,32.9578929,42.0105463,88.96828363,17.98128803,17.91140861,49.81533465,57.77667391,30.85188905,3.435263928
Mestia,2015,80.304277,94.8571246,43.97237084,0.344778989,97.11137533,2.174257843,84.24388464,40.597242,99.33952546,55.71619683
Senaki,2015,8.869766918,24.26202397,52.60039581,62.50458278,72.81031186,76.25461297,15.2546695,64.13543738,51.01066704,21.56762589
Tsalenjikha,2015,89.32539646,93.70238826,8.482606059,22.02472468,50.7904542,57.55714198,14.50302872,48.08963838,18.3657492,60.49092407
Zugdidi,2015,69.58837309,7.853075027,61.1225048,58.37732409,3.775372224,48.94777772,40.79490194,83.75441402,44.52990696,89.340657
Adigeni,2015,4.278494413,60.2700831,92.68619204,84.75992419,39.82546882,82.62903787,9.2774376,24.46139697,24.89116824,52.39912523
Akhalkalaki,2015,25.55682454,9.310508825,42.28338645,84.87180851,1.303099841,50.93473736,54.09333339,17.55770494,34.85527916,6.539867866
Akhaltsikhe,2015,45.29982049,98.39207638,71.63195151,12.7924083,97.29458307,27.07300599,97.07626541,41.14374248,29.6325686,31.03650536
Aspindza,2015,82.6916997,67.21347364,47.36933013,40.03210933,94.85977991,99.0164228,1.205656311,27.52660821,68.76972107,22.99149332
Borjomi,2015,20.84939257,37.85276995,80.70176312,12.82713348,57.99866216,37.98915351,67.40983966,23.65907512,71.66432361,7.616146978
Ninotsminda,2015,36.15139993,81.1738086,42.53207992,75.6846768,9.004165647,84.14433834,53.25423445,16.60156143,97.70059081,37.84469221
Gori,2015,72.95921289,67.86667533,59.09947348,14.450394,74.10459788,84.44244194,14.4557816,62.92462789,73.83629346,71.11361681
Java,2015,92.17130148,62.09169124,4.594512935,20.67457495,51.4108369,55.64132865,12.25466341,45.3906924,64.68143644,2.279751942
Kareli,2015,20.06745058,9.774221562,85.50195004,22.99949053,88.45564439,15.88180368,8.181709338,86.51198395,12.10173133,19.21418528
Kaspi,2015,0.188930849,95.07705903,92.96650161,8.729607186,83.6148784,60.35616348,45.9572103,42.7590767,82.40889774,47.94120996
Khashuri,2015,68.20621144,34.19926158,32.03748916,45.89401949,33.30764708,83.84416895,87.5281571,27.37539542,28.19070468,69.22719106
Tbilisi,2015,60.45204609,68.63238221,49.40331286,94.45059209,80.91346751,78.34698957,33.0898928,42.70731674,63.90341931,42.58141143
Gagra,2014,55.38663417,73.84008678,86.01801013,90.19968625,44.15449603,23.52715392,0.364071932,60.6509811,30.78017148,64.4851913
Gali,2014,2.33140326,98.9995541,75.2852542,37.83527655,7.540012084,11.13056077,1.708298204,44.76758985,42.29203472,53.88724875
Gudauta,2014,16.36134726,88.69373227,63.46076419,38.42312612,53.97254775,75.45433584,32.15618724,77.5643517,23.52784099,83.59423806
Gulripshi,2014,21.70276515,60.74375741,66.01384619,8.463301389,98.64107786,41.81521274,71.63385142,28.27958342,8.684813233,1.739613479
Ochamchire,2014,96.85300216,62.30828103,35.54802607,50.77379707,21.46279261,69.10969214,66.51720685,74.63504597,16.75038898,35.15253598
Sokhumi,2014,26.28719271,76.22193617,63.31419925,62.60555372,62.15700288,37.37943106,95.90667214,15.68127579,23.01832945,24.68104161
Batumi,2014,75.55068674,43.06148248,4.49382698,93.24109731,2.800576432,29.110705,71.64052167,92.57788889,0.039895709,28.88087847
Keda,2014,33.39604592,25.60707106,49.24705694,29.07867616,62.82675826,80.01775418,91.60585931,1.927951641,70.57368862,85.7569696
Khulo,2014,82.37533474,20.99330231,84.36226353,48.80666064,39.35972999,51.62519143,22.59058219,95.22242121,26.15970247,39.00427287
Kobuleti,2014,74.00790638,58.13039458,45.0460301,53.19303469,13.51134674,96.18098676,50.80352052,18.84225109,66.92185498,4.263311503
Shuakhevi,2014,50.75061817,56.68563329,17.4438616,89.60250159,82.28534233,98.00290527,82.8085896,20.20864789,30.80532098,30.53285943
Chokhatauri,2014,69.45925884,11.01441881,29.13759708,65.17195528,53.03202358,68.64627963,81.26217028,66.2692804,1.744002097,93.26483475
Lanchkhuti,2014,10.92348666,83.56130861,53.04159503,45.11624763,1.199604637,26.39724389,88.82940106,45.81434369,25.21615809,42.32966531
Ozurgeti,2014,23.97175507,18.32048393,7.243851122,75.81553873,14.30467011,24.36890136,56.29579866,22.86070549,61.86215565,25.43519597
Bagdati,2014,36.1002576,41.8113142,69.97990152,92.18593908,1.768592953,94.42385579,58.37657144,25.8148957,34.38224049,55.79260776
Chiatura,2014,0.054587927,78.17292901,45.95487749,16.74294944,69.77296481,73.09313443,87.23917866,97.32265991,98.30575963,60.30197782
Kharagauli,2014,2.748774471,28.11486983,67.47055065,24.79514778,19.9786674,48.64440439,91.21043479,14.64956668,52.34688121,56.86289978
Khoni,2014,88.14765095,29.08045915,51.84134983,4.175612251,45.81177642,73.5829673,68.89541596,73.95937072,33.89636207,56.97473181
Kutaisi,2014,1.705089521,2.138842109,74.42111158,30.65918942,72.54901753,97.93382328,60.18890518,13.1581807,65.01714184,16.51096784
Sachkhere,2014,45.65097905,76.59170984,11.40538469,38.97258753,38.81130386,49.56772076,52.57102913,82.28721066,31.17800068,45.98920837
Samtredia,2014,81.97144879,49.00960181,91.08843488,43.7457842,25.43635016,28.17165675,95.25905952,34.38521416,71.80990327,3.149472745
Terjola,2014,57.05785111,1.386397397,12.32769159,47.55847035,20.38429368,0.063719093,20.66738614,77.93735956,51.42549913,27.21433526
Tkibuli,2014,89.6677328,17.55195185,95.13296851,46.23024187,40.33666934,42.5384173,13.51717761,55.1265813,64.79633166,95.6667272
Tskaltubo,2014,16.22501231,73.60343194,8.617081852,54.45047094,39.43022152,99.52516027,98.29879495,85.85723065,98.30491141,0.054632988
Vani,2014,25.00733188,40.56249623,47.64044127,43.35140114,34.22520615,33.5585199,27.71673372,80.24936529,8.576810169,81.01654424
Zestaponi,2014,59.01758101,32.12395491,35.44245069,77.73468712,54.17853856,80.34937109,2.978596809,92.9395675,49.61752481,26.38011735
Akhmeta,2014,86.57535984,66.32801904,57.20244153,71.20332233,87.82907942,76.50297003,20.00137559,1.307382912,8.772257448,91.87977222
Dedoplis Tskaro,2014,7.068573303,34.09578242,5.057026588,74.34705484,11.25602799,38.48572988,3.70087588,53.67316526,3.170132834,41.84608666
Gurjaani,2014,2.244983799,13.03001493,10.93498853,26.82216102,0.223559482,52.45496976,35.51846657,12.3232413,44.06764225,81.39625423
Kvareli,2014,13.23094448,48.15212975,83.71638816,12.6528432,70.99448467,3.823219701,54.32635382,64.74761568,76.65337329,52.16856331
Lagodekhi,2014,5.882691027,47.74451355,0.429756834,21.23268052,8.442984917,74.45606093,31.8672771,5.414544162,24.75331871,65.32065653
Sagarejo,2014,86.22577654,74.36457882,33.31087846,24.61503201,46.91136857,2.617063906,15.16510859,59.50876496,20.78242278,96.44047913
Signagi,2014,23.65993524,95.30360042,46.77029175,95.00424601,20.09777407,43.28119381,55.02525496,23.70116385,97.25377073,87.66268179
Telavi,2014,9.171988606,9.080866048,37.87799993,21.98707263,11.30181408,83.23384575,97.65645771,97.72151518,41.20810527,16.7363365
Bolnisi,2014,30.77405621,29.37178347,30.56938163,58.20896828,54.40806156,62.90330342,36.96312423,80.79970783,71.9419756,92.07800441
Dmanisi,2014,86.48228055,34.46511087,83.53267373,31.62444684,26.90513728,63.68051505,63.85711279,79.4572064,60.54021801,17.85489106
Gardabani,2014,95.95798409,94.02104266,11.91709891,22.13166927,5.548668944,87.06281302,39.53413452,21.93138318,15.00927551,9.32869569
Marneuli,2014,91.2187351,39.44831764,21.60767427,22.31888057,94.87069559,50.99906655,50.30755824,1.564780361,69.85517132,57.93140713
Tetri Tskaro,2014,37.6454015,6.111719851,54.26891736,47.52579443,68.41681332,44.81315356,92.61288314,96.83714341,59.66903355,87.14040541
Tsalka,2014,90.88015518,52.06202126,33.66401743,88.67446912,41.83488266,81.1666124,42.28343175,3.618770505,61.04208122,89.76248429
Akhalgori,2014,16.3373155,81.73159871,66.8467457,52.77789455,51.03079201,54.30362136,7.867369441,8.237200249,98.03601493,22.40964498
Dusheti,2014,31.63230556,68.43233096,6.392024709,32.00237248,12.48012294,72.84029228,46.72834146,93.63159442,16.25916906,52.97961595
Kazbegi,2014,14.93506353,40.44508023,65.67354633,54.42137774,74.71883708,75.41453004,86.31272532,35.10013962,91.24662876,13.68211721
Mtskheta,2014,82.61649148,75.82679482,64.3524801,71.40794869,65.55254523,3.631605762,29.09456345,10.13078206,31.96429746,58.84705015
Tianeti,2014,31.90288021,52.96100563,47.53688429,74.63822427,20.33582786,82.42322163,48.3186328,3.016483133,12.32693575,60.81210275
Ambrolauri,2014,25.80794463,30.9366161,2.079411521,95.94977671,78.31758582,40.9756005,5.332490898,7.198961596,96.9836541,32.17026196
Lentekhi,2014,31.6774719,41.04162335,81.78014312,65.43357114,83.79188583,22.90456017,30.38703915,86.9042743,83.02227027,21.57217701
Oni,2014,12.27872213,22.65312779,35.40403017,74.95215502,4.020165419,15.07134296,28.32216976,81.59521282,34.83440874,16.34489553
Tsageri,2014,93.9946308,0.70234548,11.17577929,23.37253683,17.27301697,14.05329542,67.42097449,19.40143011,86.86345703,40.09581399
Abasha,2014,64.44468869,10.05524556,59.93166966,47.44162505,80.27751616,35.17859891,85.21731295,95.67270759,2.801636797,92.01133835
Chkhorotsku,2014,32.63667765,59.35325296,91.16418955,84.41885935,95.66099084,59.54434286,97.62372903,61.35524705,76.79505557,24.42359923
Khobi,2014,40.40199892,98.00400131,92.47512877,53.27123257,52.7670408,26.73365661,38.05261943,18.39169149,75.67166854,85.76249752
Martvili,2014,3.996194042,34.3774566,23.56495664,87.18107924,53.63363772,56.58642504,66.82770559,19.98549928,68.87530813,0.242302291
Mestia,2014,79.33660577,89.05939226,30.36319082,26.55355281,67.39651482,75.31416358,84.89777087,73.78085932,81.56315551,53.71546138
Senaki,2014,82.78840624,71.36274024,74.59424552,6.565970327,92.64289259,93.086045,51.52691107,86.32296952,8.819466262,74.43274116
Tsalenjikha,2014,87.39322648,88.54454053,21.02102498,27.43854839,13.43275405,64.48226756,15.08777743,4.761177913,60.49977961,66.02908432
Zugdidi,2014,54.80088987,63.06880628,29.14718928,21.10205862,92.46356859,99.73105908,47.82209051,73.76470668,6.038455476,82.47875244
Adigeni,2014,72.50411006,90.3080133,40.88029592,92.51707675,15.20134759,20.03909503,66.36302423,57.53494985,60.24073678,83.45140706
Akhalkalaki,2014,8.958830141,35.91533744,69.01394744,32.43302243,37.22277198,5.910053251,65.58908098,47.75314761,4.278600515,96.92678602
Akhaltsikhe,2014,77.40577967,43.51739279,69.78813518,98.23576202,2.342402859,8.292807045,39.33126181,75.1092022,62.65118854,78.98134074
Aspindza,2014,48.77727752,99.14812763,22.73702442,29.27668508,49.56758915,60.07902501,6.584850366,72.19709792,28.04318882,66.76675879
Borjomi,2014,23.02542307,8.196345795,0.851613335,29.11431326,49.64101188,19.38950614,32.43651428,98.67713915,73.09056951,41.57480999
Ninotsminda,2014,1.710934358,96.70775843,70.58144854,43.03683411,10.27208102,76.35942206,79.720861,65.40312783,49.51797662,10.75094136
Gori,2014,36.92336141,24.41854319,25.38798953,92.2281666,5.581318299,56.60342024,18.08344094,10.35031765,87.91335836,5.01275127
Java,2014,48.03856913,55.9279058,8.111665334,91.81092438,53.69974036,65.6842997,94.76429075,71.72037475,12.38484683,99.22470357
Kareli,2014,55.08675631,97.84583928,68.60839808,16.73727176,3.654267123,81.21359296,87.12328748,68.57538906,27.14024047,93.0479978
Kaspi,2014,11.25980347,8.535261464,13.75795255,40.13844193,68.84546897,12.24610196,52.54430989,6.531764623,44.1041108,5.569005798
Khashuri,2014,0.601597003,62.33607271,56.65399113,22.16026077,26.75436266,81.04968048,63.13541762,49.60009776,30.03561503,94.33752839
Tbilisi,2014,88.36732363,93.59379279,81.34697839,50.84776687,36.86803485,0.039650066,20.67474647,57.23759598,35.77090502,68.83166127
Gagra,2013,24.98510321,97.46566251,39.53710294,11.63270531,36.449057,98.22523937,53.16234014,49.56995855,84.35012989,4.911691476
Gali,2013,16.7230002,3.663919085,58.9234857,83.18169872,33.99953819,67.72668214,64.80590728,43.3125544,35.6615143,11.51501828
Gudauta,2013,18.28064592,77.71131462,81.28477897,94.91363589,93.06591408,76.04921197,10.41178849,3.577601686,53.63786175,24.52659331
Gulripshi,2013,16.87705152,10.89498076,0.738992831,33.66225768,32.9044948,97.51472052,34.16883255,71.50775305,15.24168646,34.38125925
Ochamchire,2013,92.21696481,57.79045635,34.55974355,39.31770001,91.58819969,87.99765881,24.29190414,19.75375094,88.87216505,21.29910729
Sokhumi,2013,40.87165036,83.91785374,88.51788487,67.01916936,43.27968384,18.07033355,39.74727754,99.27202422,14.4744155,96.61727128
Batumi,2013,17.81119156,5.375807055,78.46011723,71.47616379,12.00063435,30.49447591,6.565321074,70.67518321,96.92824781,80.02813708
Keda,2013,49.39110799,24.72648511,31.73916421,45.75273177,78.9532216,45.23073364,23.69256634,73.29337041,80.09846043,76.42475118
Khulo,2013,55.60079926,16.48842051,81.1403466,64.21974317,13.90841995,76.9499114,69.35693207,86.19912915,62.90338313,2.835777487
Kobuleti,2013,28.80567299,39.18645936,38.95474463,6.726212148,22.40214385,87.56789209,32.60274175,91.53242167,11.60779373,75.55419557
Shuakhevi,2013,31.06174225,6.922220075,32.80648871,6.388316396,41.27924204,35.91816645,71.37035857,18.21555211,61.03580934,26.42289958
Chokhatauri,2013,87.98670474,50.57073667,49.68004693,67.03930114,35.86354092,44.54161619,94.50056942,81.92992847,35.65271417,42.69764019
Lanchkhuti,2013,89.09077965,48.62874545,77.98667704,79.39480473,57.69529148,86.83575207,1.53393873,40.28358769,88.00396976,53.69304649
Ozurgeti,2013,50.62772614,24.24895474,43.84631208,70.34646146,37.51001315,10.50969428,66.09631359,88.14947388,74.38227156,57.4845641
Bagdati,2013,2.649905787,16.64709445,80.79866505,20.63648818,37.13899971,47.61483577,70.93848218,35.73810844,41.81871515,76.23012403
Chiatura,2013,38.24337245,57.23029986,90.90068312,79.92484155,77.22243451,8.881911511,84.67703754,55.90088784,31.37682135,91.36326725
Kharagauli,2013,5.922881492,77.49562435,51.54303339,29.25918883,46.67053814,12.28216693,50.19200242,25.09211952,83.86236846,81.34812801
Khoni,2013,6.979340085,37.04608003,72.07812717,26.6842213,0.129428246,17.73213826,72.29031136,8.342235857,85.31691433,31.58489611
Kutaisi,2013,60.99097776,59.80273023,50.56988288,21.57783056,19.9973835,30.41208223,43.57996114,6.659229777,38.40629253,3.849380078
Sachkhere,2013,54.43609916,48.11854108,12.09083275,45.5318118,29.4281874,99.72364138,2.673176094,30.41994728,7.408206536,18.34671725
Samtredia,2013,50.22439255,49.4580248,42.81592171,34.99940068,39.97975642,13.9252212,19.43934907,39.07097887,23.1516793,58.48870545
Terjola,2013,83.978346,89.38683093,97.71735514,95.15566069,34.93324428,24.34585574,12.91834104,55.76729417,13.07310116,31.07523515
Tkibuli,2013,55.21067802,26.40516207,52.38228935,78.96768129,97.71135111,12.52480392,70.04916826,76.60828536,19.43076256,2.294866322
Tskaltubo,2013,15.93480561,54.35893305,75.53267417,43.47762073,28.80338146,93.67678432,33.45556746,57.30936665,38.30578479,46.38312579
Vani,2013,11.62443669,31.39703289,94.98433268,81.85033601,34.00383424,91.89063628,59.81793544,23.19442024,9.635021735,38.78413967
Zestaponi,2013,51.78324955,68.86135255,45.86658928,95.65628245,19.87864727,62.29153452,48.63030943,48.56342045,6.294805259,45.50807911
Akhmeta,2013,5.638172655,53.13381083,99.41322573,38.81855824,70.96967335,19.31494711,99.95119636,6.334552598,1.947387576,40.35272561
Dedoplis Tskaro,2013,0.482617301,30.63394168,66.17107756,30.57370449,71.87157534,90.13332687,67.00099511,95.21115194,51.2522401,33.46988773
Gurjaani,2013,20.17119337,17.39524548,62.21195706,16.13720286,9.770271595,72.87993035,65.36279713,82.06386793,81.47023393,27.38151319
Kvareli,2013,51.68858811,96.54843565,2.965904546,66.62416436,6.453179988,76.91750783,7.97029233,55.98151175,43.83046499,2.124858132
Lagodekhi,2013,51.0580543,56.32359514,51.56907164,64.84418534,66.35385128,54.61929368,36.53053537,37.69013777,62.53073265,25.72536669
Sagarejo,2013,81.50912194,93.26002251,35.85354293,97.09805027,37.26167423,84.49270745,4.529277912,1.007894418,60.70254996,35.92818225
Signagi,2013,16.33613048,17.01333918,96.92495099,5.718752395,45.03133244,89.41127044,81.05783074,73.6790241,4.569678259,20.46454364
Telavi,2013,46.47187946,93.49885549,27.67482801,95.44822422,83.7620861,51.11870881,89.21706263,28.13230916,60.8593319,50.13271091
Bolnisi,2013,43.84653135,33.96175558,4.07162559,10.64923894,17.72864702,74.65525857,35.28108444,64.56333453,27.35258766,25.72487376
Dmanisi,2013,51.52289939,99.47078056,56.22403811,97.81740538,83.13289065,90.67432185,53.16373893,90.61263324,35.11491622,89.39603056
Gardabani,2013,45.49344055,6.449698696,29.51616734,52.32853768,2.074734499,76.52064203,60.36695122,53.50710917,48.20448583,55.04383957
Marneuli,2013,88.96050578,99.80886577,56.87911355,2.666988566,79.53520486,71.84375526,38.77806396,31.3470357,15.07476082,58.25172659
Tetri Tskaro,2013,91.73354552,94.36869516,17.20585111,89.57984946,6.239964582,1.017890393,98.26685416,86.20544331,40.29714193,82.24797563
Tsalka,2013,24.12631651,36.84948853,20.19816887,12.17122923,85.37976128,12.76828152,34.43038804,17.63012403,88.62283861,59.96260875
Akhalgori,2013,37.46968955,32.55864176,22.96442367,77.06663229,49.40751649,67.90262899,21.47222389,73.62172118,7.917590571,59.22895283
Dusheti,2013,97.4123434,76.76025735,7.867061431,75.46561044,97.14309497,67.61726604,57.32930086,98.97945893,63.31291912,56.90205535
Kazbegi,2013,30.68615908,72.49604277,62.6795687,18.84895331,3.691033968,72.25864947,3.69008781,71.71660385,7.468051237,4.605665184
Mtskheta,2013,91.53418916,84.5767999,35.81261162,19.96421718,82.33540572,88.06237278,11.68481118,57.83529486,39.32799053,5.652669896
Tianeti,2013,26.83066823,84.02218034,73.33347549,52.00777699,57.80140598,18.16787453,90.76545681,81.7485725,96.03315525,26.9091178
Ambrolauri,2013,60.68636947,51.17093345,31.88446359,6.624804557,53.91382913,87.58777839,24.92016255,45.65775684,38.62892598,13.291215
Lentekhi,2013,42.01156022,34.77009449,35.53960238,94.92154278,92.8446967,33.34683057,83.17200148,39.81083432,59.00802067,20.62204139
Oni,2013,23.40354177,20.96345695,19.67120606,56.58188576,84.57145644,63.69209594,65.89441835,18.96988993,26.11498518,6.762849941
Tsageri,2013,60.44475432,39.81371838,75.99083282,24.27605361,97.06866254,63.5761244,41.66371906,40.6906949,16.6554143,62.55565055
Abasha,2013,42.28776292,47.37801108,67.33008831,82.00797272,58.13661899,88.68107549,26.97987189,84.77224871,27.2384819,67.49191131
Chkhorotsku,2013,8.542898925,63.8784624,74.30778821,97.08210466,35.31396324,25.39964666,44.55481978,98.87652845,19.26575607,97.63839076
Khobi,2013,49.76524121,78.51229657,4.247846209,81.2175449,86.50654361,80.29841056,3.571882202,8.778564591,75.47070345,16.45520824
Martvili,2013,54.0988411,80.37742922,40.25969614,77.71456308,57.24526605,92.32876807,65.99521127,38.71368684,74.22346643,19.1025936
Mestia,2013,60.76100999,41.49227098,2.650377141,82.45951136,18.21363834,56.09183259,50.46903335,89.75665714,11.08431555,45.7229553
